item_id,model,latency_ms,is_correct,status,input_tokens,output_tokens,output_sql
1,gemma-4-12b-heretic-abliterated@q6_k,5484.81,1,correct,305,7,SELECT COUNT(*) FROM Customer;
1,gemini-3.1-flash-lite,2140.3,1,correct,290,6,SELECT count(*) FROM Customer;
2,gemma-4-12b-heretic-abliterated@q6_k,3038.64,1,correct,305,9,SELECT Name FROM Genre ORDER BY Name ASC;
2,gemini-3.1-flash-lite,1842.86,1,correct,290,9,SELECT Name FROM Genre ORDER BY Name ASC;
3,gemma-4-12b-heretic-abliterated@q6_k,3047.69,1,correct,309,7,SELECT COUNT(*) FROM Track;
3,gemini-3.1-flash-lite,3852.96,1,correct,294,5,SELECT count(*) FROM Track;
4,gemma-4-12b-heretic-abliterated@q6_k,4506.29,1,correct,316,15,"SELECT FirstName, LastName FROM Employee WHERE Title = 'Sales Support Agent';"
4,gemini-3.1-flash-lite,2598.58,1,correct,301,14,"SELECT FirstName, LastName FROM Employee WHERE Title = 'Sales Support Agent';"
5,gemma-4-12b-heretic-abliterated@q6_k,2432.61,1,correct,311,11,SELECT Name FROM Artist WHERE Name LIKE 'The%';
5,gemini-3.1-flash-lite,2203.69,1,correct,296,10,SELECT Name FROM Artist WHERE Name LIKE 'The%';
6,gemma-4-12b-heretic-abliterated@q6_k,3044.41,1,correct,309,13,SELECT COUNT(*) FROM Invoice WHERE BillingCountry = 'USA';
6,gemini-3.1-flash-lite,2494.61,1,correct,294,12,SELECT count(*) FROM Invoice WHERE BillingCountry = 'USA';
7,gemma-4-12b-heretic-abliterated@q6_k,4403.37,1,correct,314,14,"SELECT ROUND(SUM(Total), 2) FROM Invoice;"
7,gemini-3.1-flash-lite,2667.82,1,correct,299,13,"SELECT ROUND(SUM(Total), 2) FROM Invoice;"
8,gemma-4-12b-heretic-abliterated@q6_k,3628.5,0,incorrect_results,311,16,"SELECT Name, UnitPrice FROM Track ORDER BY UnitPrice DESC LIMIT 5;"
8,gemini-3.1-flash-lite,2006.53,0,incorrect_results,296,13,SELECT * FROM Track ORDER BY UnitPrice DESC LIMIT 5;
9,gemma-4-12b-heretic-abliterated@q6_k,2670.88,1,correct,309,10,SELECT DISTINCT Country FROM Customer ORDER BY Country ASC;
9,gemini-3.1-flash-lite,1859.7,1,correct,294,10,SELECT DISTINCT Country FROM Customer ORDER BY Country ASC;
10,gemma-4-12b-heretic-abliterated@q6_k,2811.73,1,correct,310,9,SELECT SUM(Milliseconds) FROM Track;
10,gemini-3.1-flash-lite,1982.31,1,correct,295,7,SELECT SUM(Milliseconds) FROM Track;
11,gemma-4-12b-heretic-abliterated@q6_k,7399.28,1,correct,312,39,SELECT T1.Title FROM Album AS T1 JOIN Artist AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = 'AC/DC';
11,gemini-3.1-flash-lite,1966.59,1,correct,297,38,SELECT T1.Title FROM Album AS T1 JOIN Artist AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = 'AC/DC';
12,gemma-4-12b-heretic-abliterated@q6_k,3843.2,1,correct,314,22,"SELECT COUNT(*) FROM Invoice WHERE strftime('%Y', InvoiceDate) = '2010';"
12,gemini-3.1-flash-lite,2811.18,1,correct,299,52,SELECT COUNT(*) FROM Invoice WHERE InvoiceDate BETWEEN '2010-01-01 00:00:00' AND '2010-12-31 23:59:59';
13,gemma-4-12b-heretic-abliterated@q6_k,3302.49,1,correct,305,12,SELECT count(*) FROM Customer WHERE Country = 'Canada';
13,gemini-3.1-flash-lite,1709.17,1,correct,290,11,SELECT count(*) FROM Customer WHERE Country = 'Canada';
14,gemma-4-12b-heretic-abliterated@q6_k,4454.06,1,correct,313,20,"SELECT Title, HireDate FROM Employee WHERE FirstName = 'Andrew' AND LastName = 'Adams';"
14,gemini-3.1-flash-lite,2167.94,1,correct,298,19,"SELECT Title, HireDate FROM Employee WHERE FirstName = 'Andrew' AND LastName = 'Adams';"
15,gemma-4-12b-heretic-abliterated@q6_k,2408.92,1,correct,311,12,SELECT COUNT(*) FROM Track WHERE Composer IS NOT NULL;
15,gemini-3.1-flash-lite,1571.53,1,correct,296,11,SELECT count(*) FROM Track WHERE Composer IS NOT NULL;
16,gemma-4-12b-heretic-abliterated@q6_k,6202.43,0,incorrect_results,311,56,"SELECT T1.FirstName, T1.LastName, SUM(T2.Total) AS TotalSpent FROM Customer AS T1 JOIN Invoice AS T2 ON T1.CustomerId = T2.CustomerId GROUP BY T1.CustomerId ORDER BY TotalSpent DESC LIMIT 5;"
