item_id,model,latency_ms,is_correct,status,input_tokens,output_tokens,output_sql
1,gemma-4-12b-heretic-abliterated@q6_k,196175.15,1,correct,303,152,SELECT COUNT(*) FROM Customer;
1,gemini-3.1-flash-lite,2922.78,1,correct,290,6,SELECT count(*) FROM Customer;
2,gemma-4-12b-heretic-abliterated@q6_k,117378.74,1,correct,303,192,SELECT Name FROM Genre ORDER BY Name;
2,gemini-3.1-flash-lite,1753.26,1,correct,290,9,SELECT Name FROM Genre ORDER BY Name ASC;
3,gemma-4-12b-heretic-abliterated@q6_k,220887.89,1,correct,307,146,SELECT COUNT(*) FROM Track;
3,gemini-3.1-flash-lite,1583.07,1,correct,294,5,SELECT count(*) FROM Track;
4,gemma-4-12b-heretic-abliterated@q6_k,126535.82,1,correct,314,178,"SELECT FirstName, LastName FROM Employee WHERE Title = 'Sales Support Agent';"
4,gemini-3.1-flash-lite,1514.52,1,correct,301,14,"SELECT FirstName, LastName FROM Employee WHERE Title = 'Sales Support Agent';"
5,gemma-4-12b-heretic-abliterated@q6_k,111518.96,1,correct,309,158,SELECT Name FROM Artist WHERE Name LIKE 'The%';
5,gemini-3.1-flash-lite,2848.86,1,correct,296,10,SELECT Name FROM Artist WHERE Name LIKE 'The%';
6,gemma-4-12b-heretic-abliterated@q6_k,44929.51,1,correct,307,173,SELECT COUNT(*) FROM Invoice WHERE BillingCountry = 'USA';
6,gemini-3.1-flash-lite,5991.45,1,correct,294,12,SELECT count(*) FROM Invoice WHERE BillingCountry = 'USA';
7,gemma-4-12b-heretic-abliterated@q6_k,24466.11,1,correct,312,122,"SELECT ROUND(SUM(Total), 2) FROM Invoice;"
7,gemini-3.1-flash-lite,945.54,0,refusal/timeout,0,0,"API_ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
8,gemma-4-12b-heretic-abliterated@q6_k,41757.49,0,incorrect_results,309,193,SELECT * FROM Track ORDER BY UnitPrice DESC LIMIT 5;
8,gemini-3.1-flash-lite,1602.43,0,incorrect_results,296,13,SELECT * FROM Track ORDER BY UnitPrice DESC LIMIT 5;
9,gemma-4-12b-heretic-abliterated@q6_k,15920.97,1,correct,307,95,SELECT DISTINCT Country FROM Customer ORDER BY Country;
9,gemini-3.1-flash-lite,2173.47,1,correct,294,10,SELECT DISTINCT Country FROM Customer ORDER BY Country ASC;
10,gemma-4-12b-heretic-abliterated@q6_k,15643.0,1,correct,308,78,SELECT SUM(Milliseconds) FROM Track;
